jmpst;Station_name;Lat_fixed;Long_fixed;myear;sdate;stime;rlabo;seqno;subno;speci;latitude;longitude;latdg;latmi;latmf;londg;lonmi;lonmf;inorb;noinp;lnmin;lnmax;lnmea;lnstd;wtmin;wtmax;wtmea;wtstd;shlwtx;tiswtx;qeorw;cmnt1.x;cmnt2.x;cmnt3.x;cmnt4.x;cmnt5.x
7*;NA;NA;NA;1983;19831115;NA;FIER;    1;1;MYTI EDU;NA;NA;59;49;  0; 5;43;  0;B; 20;45;50;48,00; 2,00;NA;NA;0,2;NA;NA;  4,3;E;NA;NA;NA;NA;NA
7*;NA;NA;NA;1983;19831115;NA;FIER;    1;2;MYTI EDU;NA;NA;59;49;  0; 5;43;  0;B; 20;47;51;49,00; 2,00;NA;NA;0,2;NA;NA;  4,0;E;NA;NA;NA;NA;NA
7*;NA;NA;NA;1983;19831115;NA;FIER;    1;3;MYTI EDU;NA;NA;59;49;  0; 5;43;  0;B; 20;45;51;48,00; 3,00;NA;NA;0,2;NA;NA;  4,6;E;NA;NA;NA;NA;NA
16*;NA;NA;NA;1983;19831115;NA;FIER;    2;1;MYTI EDU;NA;NA;60;10;  0; 6; 0;  0;B; 20;31;36;34,00; 2,00;NA;NA;0,1;NA;NA;  1,8;E;NA;NA;NA;NA;NA
16*;NA;NA;NA;1983;19831115;NA;FIER;    2;2;MYTI EDU;NA;NA;60;10;  0; 6; 0;  0;B; 20;30;38;33,00; 2,00;NA;NA;0,1;NA;NA;  1,6;E;NA;NA;NA;NA;NA
16*;NA;NA;NA;1983;19831115;NA;FIER;    2;3;MYTI EDU;NA;NA;60;10;  0; 6; 0;  0;B; 20;30;39;33,00; 3,00;NA;NA;0,1;NA;NA;  1,5;E;NA;NA;NA;NA;NA
36*;NA;NA;NA;1983;19831115;NA;FIER;    3;1;MYTI EDU;NA;NA;60;25;  0; 6;24;  0;B; 20;31;41;36,00; 3,00;NA;NA;NA;NA;NA;  0,7;E;NA;NA;NA;NA;NA
36*;NA;NA;NA;1983;19831115;NA;FIER;    3;2;MYTI EDU;NA;NA;60;25;  0; 6;24;  0;B; 20;26;32;29,00; 2,00;NA;NA;NA;NA;NA;  0,4;E;NA;NA;NA;NA;NA
36*;NA;NA;NA;1983;19831115;NA;FIER;    3;3;MYTI EDU;NA;NA;60;25;  0; 6;24;  0;B; 20;26;35;31,00; 2,00;NA;NA;NA;NA;NA;  0,4;E;NA;NA;NA;NA;NA
24*;NA;NA;NA;1983;19831115;NA;FIER;    4;1;MYTI EDU;NA;NA;60;22;  0; 6;37;  0;B; 20;45;55;50,00; 3,00;NA;NA;0,2;NA;NA;  4,5;E;NA;NA;NA;NA;NA
24*;NA;NA;NA;1983;19831115;NA;FIER;    4;2;MYTI EDU;NA;NA;60;22;  0; 6;37;  0;B; 20;45;60;51,00; 5,00;NA;NA;0,2;NA;NA;  4,2;E;NA;NA;NA;NA;NA
24*;NA;NA;NA;1983;19831115;NA;FIER;    4;3;MYTI EDU;NA;NA;60;22;  0; 6;37;  0;B; 20;34;40;37,00; 2,00;NA;NA;0,1;NA;NA;  1,7;E;NA;NA;NA;NA;NA
27*;NA;NA;NA;1983;19831115;NA;FIER;    5;1;MYTI EDU;NA;NA;60;12;  0; 6;33;  0;B; 20;28;36;32,00; 3,00;NA;NA;NA;NA;NA;  0,9;E;NA;NA;NA;NA;NA
27*;NA;NA;NA;1983;19831115;NA;FIER;    5;2;MYTI EDU;NA;NA;60;12;  0; 6;33;  0;B; 20;28;36;32,00; 2,00;NA;NA;0,1;NA;NA;  1,0;E;NA;NA;NA;NA;NA
27*;NA;NA;NA;1983;19831115;NA;FIER;    5;3;MYTI EDU;NA;NA;60;12;  0; 6;33;  0;B; 20;30;38;33,00; 2,00;NA;NA;0,1;NA;NA;  1,0;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1981;19811229;NA;NIVA;    1;1;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 50;35;50;42,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1981;19811229;NA;NIVA;    1;2;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 50;35;50;42,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
32A;NA;NA;NA;1981;19811027;NA;NIVA;    2;1;MYTI EDU;NA;NA;59;31; 50;10;25; 60;H; 50;30;50;40,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1981;19811027;NA;NIVA;    3;1;MYTI EDU;NA;NA;59;29; 20;10;30; 10;H; 50;35;50;42,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1981;19811229;NA;NIVA;    4;1;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;H; 50;30;50;38,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
A3*;NA;NA;NA;1981;19810317;NA;NIVA;    5;1;MYTI EDU;NA;NA;58;58; 90; 9;49; 90;H; 50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1981;19810317;NA;NIVA;    6;1;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;H; 50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
51A;Byrkjenes, Inner Sørfjord;60,08429; 6,550954;1981;19811000;NA;NIVA;20021;1;MYTI EDU;NA;NA;NA;NA;NA;NA;NA;NA;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
B4;NA;NA;NA;1981;19811000;NA;NIVA;20022;1;MYTI EDU;NA;NA;NA;NA;NA;NA;NA;NA;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
57A;Krossanes, Outer Sørfjord;60,38707; 6,689524;1981;19811000;NA;NIVA;20023;1;MYTI EDU;NA;NA;NA;NA;NA;NA;NA;NA;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
03A;NA;NA;NA;1982;19821014;NA;NIVA;    1;1;MYTI EDU;NA;NA;58;59;  0;10;57; 80;B; 47;40;50;45,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
03A;NA;NA;NA;1982;19821014;NA;NIVA;    1;2;MYTI EDU;NA;NA;58;59;  0;10;57; 80;B; 53;30;40;36,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
01A;NA;NA;NA;1982;19821014;NA;NIVA;    2;1;MYTI EDU;NA;NA;59; 5; 10;11;12; 50;B; 51;40;50;45,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
01A;NA;NA;NA;1982;19821014;NA;NIVA;    2;2;MYTI EDU;NA;NA;59; 5; 10;11;12; 50;B; 50;30;40;35,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
01A;NA;NA;NA;1982;19821014;NA;NIVA;    2;3;MYTI EDU;NA;NA;59; 5; 10;11;12; 50;B; 52;20;30;26,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
32A;NA;NA;NA;1982;19821015;NA;NIVA;    3;1;MYTI EDU;NA;NA;59;31; 50;10;25; 60;B; 52;40;50;45,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
32A;NA;NA;NA;1982;19821015;NA;NIVA;    3;2;MYTI EDU;NA;NA;59;31; 50;10;25; 60;B; 55;30;40;35,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
32A;NA;NA;NA;1982;19821015;NA;NIVA;    3;3;MYTI EDU;NA;NA;59;31; 50;10;25; 60;B; 56;20;30;26,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
02A;NA;NA;NA;1982;19821014;NA;NIVA;    4;1;MYTI EDU;NA;NA;59; 6; 90;10;59;  0;B; 50;40;50;45,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
02A;NA;NA;NA;1982;19821014;NA;NIVA;    4;2;MYTI EDU;NA;NA;59; 6; 90;10;59;  0;B; 50;30;40;36,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
02A;NA;NA;NA;1982;19821014;NA;NIVA;    4;3;MYTI EDU;NA;NA;59; 6; 90;10;59;  0;B; 45;20;30;26,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1982;19821110;NA;NIVA;    5;1;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;B; 50;40;50;46,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1982;19821110;NA;NIVA;    5;2;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;B; 50;30;40;35,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1982;19821110;NA;NIVA;    5;3;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;B; 50;20;30;26,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1982;19821015;NA;NIVA;    6;1;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 51;40;50;46,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1982;19821015;NA;NIVA;    6;2;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 51;30;40;35,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1982;19821015;NA;NIVA;    6;3;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 57;20;30;26,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
51A;Byrkjenes, Inner Sørfjord;60,08429; 6,550954;1982;19821000;NA;NIVA;20021;1;MYTI EDU;NA;NA;NA;NA;NA;NA;NA;NA;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
B4;NA;NA;NA;1982;19821000;NA;NIVA;20022;1;MYTI EDU;NA;NA;NA;NA;NA;NA;NA;NA;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
57A;Krossanes, Outer Sørfjord;60,38707; 6,689524;1982;19821000;NA;NIVA;20023;1;MYTI EDU;NA;NA;NA;NA;NA;NA;NA;NA;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1983;19830302;NA;NIVA;    1;1;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 50;40;50;46,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1983;19830302;NA;NIVA;    1;2;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 50;30;40;35,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1983;19830302;NA;NIVA;    1;3;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 50;20;30;26,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1983;19830301;NA;NIVA;    2;1;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;B; 37;30;40;35,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1983;19830301;NA;NIVA;    2;2;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;B; 50;20;30;25,00;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1983;19831012;NA;NIVA;    3;1;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 60;20;30;26,00; 2,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1983;19831012;NA;NIVA;    3;2;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 50;30;40;34,00; 3,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1983;19831012;NA;NIVA;    3;3;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 50;40;50;44,00; 2,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1983;19831007;NA;NIVA;    4;1;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 60;20;30;25,00; 2,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1983;19831007;NA;NIVA;    4;2;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 50;30;40;34,00; 3,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1983;19831007;NA;NIVA;    4;3;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 50;40;50;45,00; 3,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1983;19831006;NA;NIVA;    5;1;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;B; 60;20;30;25,00; 3,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1983;19831006;NA;NIVA;    5;2;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;B; 50;30;40;35,00; 3,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1983;19831006;NA;NIVA;    5;3;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;B; 46;40;50;44,00; 3,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1983;19831109;NA;NIVA;    6;1;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;B; 54;20;30;25,00; 3,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1983;19831109;NA;NIVA;    6;2;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;B; 49;30;40;36,00; 3,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1983;19831109;NA;NIVA;    6;3;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;B; 49;40;50;46,00; 3,00;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;NA;NA
30A;Gressholmen, Inner Oslofjord;59,88362;10,711000;1984;19841011;NA;NIVA;    1;1;MYTI EDU;NA;NA;59;52; 50;10;43;  0;B; 60;20;30;25,00; 2,00;NA;NA;0,8;NA; 67,70;NA;E;NA;NA;NA;NA;NA
30A;Gressholmen, Inner Oslofjord;59,88362;10,711000;1984;19841011;NA;NIVA;    1;2;MYTI EDU;NA;NA;59;52; 50;10;43;  0;B; 50;30;40;35,00; 3,00;NA;NA;2,0;NA;151,40;NA;E;NA;NA;NA;NA;NA
30A;Gressholmen, Inner Oslofjord;59,88362;10,711000;1984;19841011;NA;NIVA;    1;3;MYTI EDU;NA;NA;59;52; 50;10;43;  0;B; 50;40;50;44,00; 2,00;NA;NA;NA;NA;294,10;NA;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1984;19841011;NA;NIVA;    2;1;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 60;20;30;26,00; 3,00;NA;NA;0,7;NA; 73,90;NA;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1984;19841011;NA;NIVA;    2;2;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 50;30;40;34,00; 3,00;NA;NA;1,8;NA;142,00; 90,0;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1984;19841011;NA;NIVA;    2;3;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 50;40;50;45,00; 2,00;NA;NA;3,9;NA;278,40;196,8;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1984;19841017;NA;NIVA;    3;1;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 58;20;30;25,00; 3,00;NA;NA;0,9;NA; 65,70; 50,2;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1984;19841017;NA;NIVA;    3;2;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 50;30;40;35,00; 3,00;NA;NA;2,5;NA;181,90;124,1;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1984;19841017;NA;NIVA;    3;3;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 50;40;50;44,00; 3,00;NA;NA;4,8;NA;343,00;241,5;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1984;19841016;NA;NIVA;    4;1;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;B; 61;20;30;25,00; 3,00;NA;NA;0,8;NA; 38,40; 46,1;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1984;19841016;NA;NIVA;    4;2;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;B; 50;30;40;35,00; 3,00;NA;NA;2,1;NA; 88,40;NA;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1984;19841016;NA;NIVA;    4;3;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;B; 50;40;50;45,00; 3,00;NA;NA;4,9;NA;171,10;244,9;E;NA;NA;NA;NA;NA
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1984;19841108;NA;NIVA;    5;1;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;B; 59;20;30;25,00; 3,00;NA;NA;0,8;NA; 59,00; 45,8;E;NA;NA;NA;NA;NA
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1984;19841108;NA;NIVA;    5;2;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;B; 50;30;40;35,00; 3,00;NA;NA;1,8;NA;111,50; 89,2;E;NA;NA;NA;NA;NA
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1984;19841108;NA;NIVA;    5;3;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;B; 50;40;50;45,00; 3,00;NA;NA;4,1;NA;225,90;204,9;E;NA;NA;NA;NA;NA
80A;NA;NA;NA;1984;19841024;NA;NIVA;    6;1;MYTI EDU;NA;NA;63;27; 50;10;27; 50;H; 50;22;31;25,00; 4,00;NA;NA;0,7;NA;NA; 35,6;E;NA;NA;NA;NA;NA
81A;NA;NA;NA;1984;19841024;NA;NIVA;    7;1;MYTI EDU;NA;NA;63;26; 50;10;21; 40;H; 50;25;38;32,00; 1,00;NA;NA;1,1;NA;NA; 56,2;E;NA;NA;NA;NA;NA
82A;NA;NA;NA;1984;19841024;NA;NIVA;    8;1;MYTI EDU;NA;NA;63;27; 10;10;12; 60;H; 50;28;40;33,00; 4,00;NA;NA;1,4;NA;NA; 71,0;E;NA;NA;NA;NA;NA
83A;NA;NA;NA;1984;19841024;NA;NIVA;    9;1;MYTI EDU;NA;NA;63;25; 50;10; 7; 80;H; 50;33;42;37,00; 3,00;NA;NA;2,0;NA;NA;101,1;E;NA;NA;NA;NA;NA
84A;NA;NA;NA;1984;19841023;NA;NIVA;   10;1;MYTI EDU;NA;NA;63;20; 80; 9;57; 80;B; 60;22;30;25,00; 3,00;NA;NA;0,7;NA;NA; 40,9;E;NA;NA;NA;NA;NA
84A;NA;NA;NA;1984;19841023;NA;NIVA;   10;2;MYTI EDU;NA;NA;63;20; 80; 9;57; 80;B; 50;30;40;34,00; 4,00;NA;NA;1,7;NA;NA; 83,9;E;NA;NA;NA;NA;NA
85A;NA;NA;NA;1984;19841023;NA;NIVA;   11;1;MYTI EDU;NA;NA;63;21; 90; 9;56; 30;H; 50;34;50;39,00; 4,00;NA;NA;2,2;NA;NA;110,7;E;NA;NA;NA;NA;NA
86A;NA;NA;NA;1984;19841023;NA;NIVA;   12;1;MYTI EDU;NA;NA;63;26; 60; 9;59; 20;H; 60;16;24;17,00; 4,00;NA;NA;0,3;NA;NA; 17,4;E;NA;NA;NA;NA;NA
87A;NA;NA;NA;1984;19841023;NA;NIVA;   13;1;MYTI EDU;NA;NA;63;27; 80; 9;54; 80;H; 60;14;22;15,00; 3,00;NA;NA;0,2;NA;NA; 12,1;E;NA;NA;NA;NA;NA
88A;NA;NA;NA;1984;19841023;NA;NIVA;   14;1;MYTI EDU;NA;NA;63;29; 20;10; 0;  0;H; 60;15;24;17,00; 4,00;NA;NA;0,2;NA;NA; 13,8;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1985;19851015;NA;NIVA;    1;1;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;B; 61;20;29;24,00; 2,00;NA;NA;0,6;NA; 24,40; 34,6;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1985;19851015;NA;NIVA;    1;2;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;B; 45;30;39;34,00; 3,00;NA;NA;2,2;NA; 98,70; 97,5;E;NA;NA;NA;NA;NA
36A;Færder, Outer Oslofjord;59,02740;10,525000;1985;19851015;NA;NIVA;    1;3;MYTI EDU;NA;NA;59; 1; 60;10;31; 70;B; 50;40;49;45,00; 3,00;NA;NA;5,0;NA;237,40;248,1;E;NA;NA;NA;NA;NA
03A;NA;NA;NA;1985;19851015;NA;NIVA;    2;1;MYTI EDU;NA;NA;58;58; 80;10;57; 50;B; 21;20;28;23,00; 3,00;NA;NA;0,6;NA; 13,40; 12,6;E;NA;NA;NA;NA;NA
03A;NA;NA;NA;1985;19851015;NA;NIVA;    2;2;MYTI EDU;NA;NA;58;58; 80;10;57; 50;B; 32;30;39;36,00; 3,00;NA;NA;2,3;NA; 94,40; 73,2;E;NA;NA;NA;NA;NA
03A;NA;NA;NA;1985;19851015;NA;NIVA;    2;3;MYTI EDU;NA;NA;58;58; 80;10;57; 50;B; 50;40;49;44,00; 3,00;NA;NA;4,8;NA;327,60;241,3;E;NA;NA;NA;NA;NA
02A;NA;NA;NA;1985;19851015;NA;NIVA;    3;1;MYTI EDU;NA;NA;59; 6; 90;10;59;  0;B; 57;20;29;26,00; 3,00;NA;NA;0,6;NA; 34,70; 36,1;E;NA;NA;NA;NA;NA
02A;NA;NA;NA;1985;19851015;NA;NIVA;    3;2;MYTI EDU;NA;NA;59; 6; 90;10;59;  0;B; 50;30;39;34,00; 3,00;NA;NA;1,3;NA; 63,60; 65,2;E;NA;NA;NA;NA;NA
02A;NA;NA;NA;1985;19851015;NA;NIVA;    3;3;MYTI EDU;NA;NA;59; 6; 90;10;59;  0;B; 49;40;49;45,00; 3,00;NA;NA;2,8;NA;197,40;138,7;E;NA;NA;NA;NA;NA
01A;NA;NA;NA;1985;19851016;NA;NIVA;    4;1;MYTI EDU;NA;NA;59; 5; 10;11;13; 90;B; 56;20;29;25,00; 2,00;NA;NA;0,9;NA; 42,80; 52,0;E;NA;NA;NA;NA;NA
01A;NA;NA;NA;1985;19851016;NA;NIVA;    4;2;MYTI EDU;NA;NA;59; 5; 10;11;13; 90;B; 50;30;39;34,00; 2,00;NA;NA;2,0;NA; 95,30; 98,1;E;NA;NA;NA;NA;NA
01A;NA;NA;NA;1985;19851016;NA;NIVA;    4;3;MYTI EDU;NA;NA;59; 5; 10;11;13; 90;B; 50;40;49;44,00; 2,00;NA;NA;3,5;NA;205,50;174,4;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1985;19851017;NA;NIVA;    5;1;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 62;20;29;25,00; 3,00;NA;NA;0,8;NA; 56,50; 52,0;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1985;19851017;NA;NIVA;    5;2;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 38;30;39;34,00; 3,00;NA;NA;2,1;NA; 85,70; 80,3;E;NA;NA;NA;NA;NA
35A;Mølen, Mid Oslofjord;59,48359;10,494990;1985;19851017;NA;NIVA;    5;3;MYTI EDU;NA;NA;59;29; 20;10;30; 10;B; 46;40;49;46,00; 3,00;NA;NA;5,4;NA;265,90;247,8;E;NA;NA;NA;NA;NA
32A;NA;NA;NA;1985;19851017;NA;NIVA;    6;1;MYTI EDU;NA;NA;59;31; 50;10;25; 60;B; 45;20;29;26,00; 3,00;NA;NA;0,8;NA; 37,10; 35,8;E;NA;NA;NA;NA;NA
32A;NA;NA;NA;1985;19851017;NA;NIVA;    6;2;MYTI EDU;NA;NA;59;31; 50;10;25; 60;B; 52;30;39;35,00; 3,00;NA;NA;2,0;NA;118,30;105,2;E;NA;NA;NA;NA;NA
32A;NA;NA;NA;1985;19851017;NA;NIVA;    6;3;MYTI EDU;NA;NA;59;31; 50;10;25; 60;B; 50;40;49;44,00; 3,00;NA;NA;3,9;NA;236,20;196,6;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1985;19851024;NA;NIVA;    7;1;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 59;20;29;26,00; 3,00;NA;NA;1,0;NA; 69,60; 57,6;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1985;19851024;NA;NIVA;    7;2;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 50;30;39;34,00; 3,00;NA;NA;2,3;NA;146,10;114,6;E;NA;NA;NA;NA;NA
31A;Solbergstrand, Mid Oslofjord;59,61550;10,651500;1985;19851024;NA;NIVA;    7;3;MYTI EDU;NA;NA;59;36; 90;10;39; 40;B; 50;40;49;44,00; 2,00;NA;NA;4,8;NA;290,30;241,6;E;NA;NA;NA;NA;NA
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1985;19851024;NA;NIVA;    8;1;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;B; 56;20;29;25,00; 3,00;NA;NA;0,9;NA; 55,50; 47,9;E;Sample for 4-5cm has been misplaced. By chance a parallel;sample was collected (for PAH analyses) but does not;strictly meet JMG requirements (n=28, 40-52mm), however,;JMG contaminant analyses carried out, results on request;(ng 11.5.93).
71A;Bjørkøya, Langesundfjord;59,02333; 9,753667;1985;19851024;NA;NIVA;    8;2;MYTI EDU;NA;NA;59; 1; 40; 9;45; 40;B; 50;30;39;35,00; 3,00;NA;NA;2,3;NA;120,10;114,0;E;NA;NA;NA;NA;NA
